ID,Area,Mean,Min,Max,XM,YM,IntDen,RawIntDen
1,182,5.918,4,9,1202.86,967.386,1077,1077
2,182,4.637,3,7,1181.94,925.816,844,844
3,182,8.484,4,20,1197.169,907.638,1544,1544
4,182,7.731,5,12,1180.032,882.422,1407,1407
5,182,7.995,5,15,1140.288,935.397,1455,1455
6,182,8.198,5,13,1107.779,916.713,1492,1492
7,182,7.637,5,10,1101.131,949.33,1390,1390
8,182,7.247,4,12,1107.292,966.8,1319,1319
9,182,4.313,2,9,1274.948,866.086,785,785
10,182,7.264,4,13,1214.329,851.533,1322,1322
11,182,1.89,0,6,1328.634,832.218,344,344
12,182,13.137,8,18,1343.972,846.948,2391,2391
13,182,4.604,2,10,1311.385,871.737,838,838
14,182,3.549,2,9,1280.44,853.511,646,646
15,182,5.56,2,10,1264.821,861.959,1012,1012
16,182,6.544,4,12,1214.412,845.876,1191,1191
17,182,7.489,4,13,1225.732,854.895,1363,1363
18,182,6.104,3,11,1092.389,866.305,1111,1111
19,182,6.764,3,10,1103.952,875.017,1231,1231
20,182,8.225,5,12,1110.992,918.578,1497,1497
21,182,8.901,6,12,1060.857,908.505,1620,1620
22,182,8.962,5,18,1248.518,754.981,1631,1631
23,182,6.643,4,9,1256.89,744.608,1209,1209
24,182,6.505,3,14,1294.139,768.722,1184,1184
25,182,7.258,5,10,1222.654,788.455,1321,1321
26,182,9.22,6,18,1227.184,716.26,1678,1678
27,182,7.802,5,15,1240.515,647.663,1420,1420
28,182,6.863,4,15,1258.506,645.007,1249,1249
29,182,3.78,1,13,1280.538,597.041,688,688
30,182,4.577,1,9,1266.899,589.975,833,833
31,182,3.61,2,5,1152.433,557.497,657,657
32,182,6.209,3,12,1161.164,617.848,1130,1130
33,182,5.352,3,7,1298.633,60.683,974,974
34,182,2.951,1,5,1314.573,54.327,537,537
35,182,2.874,1,5,1335.12,52.859,523,523
36,182,2.049,0,5,1334.942,63.036,373,373
37,182,3.802,2,6,1342.978,46,692,692
38,182,1.863,0,3,1343.813,66.754,339,339
39,182,0.709,0,3,1336.252,81.136,129,129
40,182,0.758,0,3,1328.449,88.478,138,138
41,182,1.659,0,7,1313.722,97.785,302,302
42,182,4.071,2,7,1309.101,108.825,741,741
43,182,5.286,3,8,1290.031,111.674,962,962
44,182,5.176,3,7,1282.049,113.16,942,942
45,182,5.093,3,9,1287.324,126.314,927,927
46,182,6.181,4,9,1282.838,162.656,1125,1125
47,182,5.637,3,8,1267.09,189.041,1026,1026
48,182,8.088,6,11,1183.207,112.534,1472,1472
49,182,9.346,6,15,1153.357,98.743,1701,1701
50,182,8.632,6,11,1095.124,73.426,1571,1571
51,182,7.824,6,10,1069.076,175.353,1424,1424
52,182,9.473,7,11,1030.128,212.366,1724,1724
53,182,8.126,3,20,1106.326,194.555,1479,1479
54,182,8.615,5,14,1121.403,211.934,1568,1568
55,182,8.714,6,15,1073.203,173.405,1586,1586
56,182,8,5,10,1057.766,174.345,1456,1456
57,182,6.962,3,16,1033.99,170.775,1267,1267
58,182,3.588,2,6,1018.258,168.148,653,653
59,182,3.462,2,5,1007.854,159.817,630,630
60,182,3.599,2,6,1005.949,147.992,655,655
61,182,5.247,3,10,998.876,139.995,955,955
62,182,5.736,2,10,986.175,147.42,1044,1044
63,182,8.648,6,12,962.029,138.422,1574,1574
64,182,8.896,6,12,954.811,146.54,1619,1619
65,182,9.143,6,13,969.163,101.535,1664,1664
66,182,11.687,8,17,897.875,49.872,2127,2127
67,182,10.533,7,14,883.115,45.607,1917,1917
68,182,10.841,7,13,872.983,47.529,1973,1973
69,182,10.852,7,15,864.938,28.761,1975,1975
70,182,10.137,7,15,854.856,21.753,1845,1845
71,182,10.297,7,18,851.847,19.841,1874,1874
72,182,9.538,7,13,844.768,11.493,1736,1736
73,182,10.742,8,18,836.964,8.253,1955,1955
74,182,10.588,7,18,794.187,8.261,1927,1927
75,182,9.225,7,14,783.171,43.649,1679,1679
76,182,8.39,5,12,775.543,56.305,1527,1527
77,182,9.698,7,12,758.03,53.482,1765,1765
78,182,8.445,6,13,752.965,64.317,1537,1537
79,182,10.753,7,17,747.23,77.931,1957,1957
80,182,10.016,6,15,755.111,74.06,1823,1823
81,182,7.22,4,11,769.568,66.164,1314,1314
82,182,6.659,4,12,776.843,65.163,1212,1212
83,182,9.615,6,12,800.056,83.617,1750,1750
84,182,9.555,7,12,744.969,172.537,1739,1739
85,182,10.962,8,17,783.876,179.6,1995,1995
86,182,9.945,7,13,764.033,218.355,1810,1810
87,182,9.313,6,12,754.153,220.253,1695,1695
88,182,8.28,6,12,746.993,228.55,1507,1507
89,182,9.918,7,13,771.067,220.275,1805,1805
90,182,8.67,6,11,581.871,209.482,1578,1578
91,182,8.747,6,12,537.101,260.614,1592,1592
92,182,7.516,5,10,676.718,305.573,1368,1368
93,182,9.742,5,15,687.316,317.998,1773,1773
94,182,9.901,7,12,706.948,329.627,1802,1802
95,182,10.725,8,19,715.435,323.707,1952,1952
96,182,7.753,5,10,668.341,336.467,1411,1411
97,182,8.203,7,10,655.094,366.492,1493,1493
98,182,8.67,6,14,645.031,381.629,1578,1578
99,182,8.049,5,13,604.853,519.169,1465,1465
100,182,7.027,4,10,623.326,528.276,1279,1279
101,182,3.709,1,6,639.019,547.447,675,675
102,182,6.275,3,9,659.377,541.158,1142,1142
103,182,7.533,4,12,663.29,537.013,1371,1371
104,182,9.093,6,12,701.13,526.467,1655,1655
105,182,9.055,6,12,696.043,517.439,1648,1648
106,182,8.511,6,12,732.927,553.348,1549,1549
107,182,7.967,6,11,728.047,563.451,1450,1450
108,182,8.143,5,11,737.052,574.414,1482,1482
109,182,8.83,6,12,747.219,582.536,1607,1607
110,182,8.489,6,11,635.928,668.501,1545,1545
111,182,8.857,7,11,650.993,678.473,1612,1612
112,182,9.522,7,13,585.969,654.789,1733,1733
113,182,9.456,7,15,529.856,682.322,1721,1721
114,182,7.742,5,11,762.121,749.482,1409,1409
115,182,8.016,6,13,766.462,783.642,1459,1459
116,182,7.984,6,10,769.954,801.503,1453,1453
117,182,9.022,7,11,632.949,831.41,1642,1642
118,182,5.885,2,12,816.685,821.346,1071,1071
119,182,6.247,4,10,831.312,827.617,1137,1137
120,182,7.692,6,10,838.91,842.764,1400,1400
